_id,RSS,Region,Nom_etablissement,Nom_installation,No_permis_installation,Nombre_de_civieres_fonctionnelles,Nombre_de_civieres_occupees,Nombre_de_patients_sur_civiere_plus_de_24_heures,Nombre_de_patients_sur_civiere_plus_de_48_heures,Nombre_total_de_patients_presents_a_lurgence,Nombre_total_de_patients_en_attente_de_PEC,DMS_sur_civiere,DMS_ambulatoire,DMS_sur_civiere_horaire,DMS_ambulatoire_horaire,Heure_de_l'extraction_(image),Mise_a_jour
1,01,Bas-Saint-Laurent,Total régional,Total régional,,52,37,5,0,118,52,9.21422535211267,3.01493617021276,9:12,3:00,11:00:00,2026-01-26T11:45
2,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,CENTRE HOSPITALIER RÉGIONAL DU GRAND-PORTAGE,51218352,9,3,0,0,16,12,5.85,2.49,5:51,2:29,11:00:00,2026-01-26T11:45
3,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL DE MATANE,51218980,7,9,0,0,18,7,12.59,4.53,12:35,4:31,11:00:00,2026-01-26T11:45
4,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,CLSC DE POHÉNÉGAMOOK,51219418,3,1,0,0,6,4,3.75,2.66,3:45,2:39,11:00:00,2026-01-26T11:45
5,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL NOTRE-DAME-DE-FATIMA,51221141,7,1,0,0,8,3,9.79,1.5,9:47,1:30,11:00:00,2026-01-26T11:45
6,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL DE NOTRE-DAME-DU-LAC,51221877,5,2,0,0,9,5,7.53,2.76,7:31,2:45,11:00:00,2026-01-26T11:45
7,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL D'AMQUI,51226892,6,4,0,0,9,2,7.29,2.95,7:17,2:57,11:00:00,2026-01-26T11:45
8,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,HÔPITAL RÉGIONAL DE RIMOUSKI,51227882,12,16,5,0,47,19,10.87,3.57,10:52,3:34,11:00:00,2026-01-26T11:45
9,01,Bas-Saint-Laurent,CISSS DU BAS-SAINT-LAURENT,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE TROIS-PISTOLES,51236156,3,1,0,0,5,0,7.93,1.91,7:55,1:54,11:00:00,2026-01-26T11:45
10,02,Saguenay-Lac-Saint-Jean,Total régional,Total régional,,104,80,6,1,187,73,10.8995967741935,3.36843416370106,10:53,3:22,11:00:00,2026-01-26T11:45
11,02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL DE CHICOUTIMI,51218394,41,36,5,0,60,16,14.77,4.43,14:46,4:25,11:00:00,2026-01-26T11:45
12,02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL DE DOLBEAU-MISTASSINI,51219384,10,5,1,1,22,12,15.22,3.63,15:13,3:37,11:00:00,2026-01-26T11:45
13,02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL D'ALMA,51219400,17,10,0,0,24,9,5.79,2.26,5:47,2:15,11:00:00,2026-01-26T11:45
14,02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL DE LA BAIE,51221364,7,3,0,0,21,12,5.03,3.86,5:01,3:51,11:00:00,2026-01-26T11:45
15,02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL ET CENTRE DE RÉADAPTATION DE JONQUIÈRE,51224541,16,17,0,0,33,11,7.29,3.01,7:17,3:00,11:00:00,2026-01-26T11:45
16,02,Saguenay-Lac-Saint-Jean,CIUSSS DU SAGUENAY - LAC-SAINT-JEAN,HÔPITAL ET CENTRE D'HÉBERGEMENT DE ROBERVAL,51228203,13,9,0,0,27,13,9.28,3.09,9:16,3:05,11:00:00,2026-01-26T11:45
17,03,Capitale-Nationale,Total régional,Total régional,,218,208,50,30,352,82,12.2655589123867,3.18149819494584,12:15,3:10,11:00:00,2026-01-26T11:45
18,03,Capitale-Nationale,CHU DE QUÉBEC - UNIVERSITÉ LAVAL,HÔPITAL DU SAINT-SACREMENT,51217529,22,17,1,0,35,13,11.71,2.93,11:42,2:55,11:00:00,2026-01-26T11:45
19,03,Capitale-Nationale,CHU DE QUÉBEC - UNIVERSITÉ LAVAL,L'HÔTEL-DIEU DE QUÉBEC,51217586,15,20,3,0,23,4,12.19,4.09,12:11,4:05,11:00:00,2026-01-26T11:45
20,03,Capitale-Nationale,CHU DE QUÉBEC - UNIVERSITÉ LAVAL,CENTRE HOSPITALIER DE L'UNIVERSITÉ LAVAL,51217594,43,48,22,19,81,9,11.02,4.12,11:01,4:07,11:00:00,2026-01-26T11:45
21,03,Capitale-Nationale,CHU DE QUÉBEC - UNIVERSITÉ LAVAL,HÔPITAL SAINT-FRANÇOIS D'ASSISE,51217602,34,26,6,0,44,11,17,4.57,17:00,4:34,11:00:00,2026-01-26T11:45
22,03,Capitale-Nationale,CIUSSS DE LA CAPITALE-NATIONALE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX CHAUVEAU,51225001,5,3,0,0,16,4,3.6,1.81,3:36,1:48,11:00:00,2026-01-26T11:45
23,03,Capitale-Nationale,CIUSSS DE LA CAPITALE-NATIONALE,CENTRE MULTISERVICES DE SANTÉ ET DE SERVICES SOCIAUX DE SAINTE-ANNE-DE-BEAUPRÉ,51225357,4,3,1,0,7,2,8.31,3.12,8:18,3:07,11:00:00,2026-01-26T11:45
24,03,Capitale-Nationale,CIUSSS DE LA CAPITALE-NATIONALE,HÔPITAL ET CLSC DE LA MALBAIE,51228690,9,3,0,0,8,2,4.61,1.33,4:36,1:19,11:00:00,2026-01-26T11:45
25,03,Capitale-Nationale,INSTITUT UNIVERSITAIRE DE CARDIOLOGIE ET DE PNEUMOLOGIE DE QUÉBEC - UNIVERSITÉ LAVAL,INSTITUT UNIVERSITAIRE DE CARDIOLOGIE ET DE PNEUMOLOGIE DE QUÉBEC,51232130,20,16,0,0,25,7,9.77,4.14,9:46,4:08,11:00:00,2026-01-26T11:45
26,03,Capitale-Nationale,CHU DE QUÉBEC - UNIVERSITÉ LAVAL,HÔPITAL DE L'ENFANT-JÉSUS,51233914,48,59,16,10,71,10,15.2,3.46,15:12,3:27,11:00:00,2026-01-26T11:45
